POS,First Name,Last Name,TM,T,STU,MOV,CON,STU vL,MOV vL,CON vL,STU vR,MOV vR,CON vR,FB,CH,CB,SL,SI,SP,CT,CC,SC,KC,STM,GS,W,L,IP,BF,HA,1B,2B,3B,HR,ER,BB,IBB,K,ERA,AVG,OBP,SLG,OPS,BABIP,WHIP,GB,FB,ERA+,FIP,WAR,SLR
SP,Riley,Pint,HOU,R,20,13,15,20,12,15,20,14,15,19,19,-,20,-,-,-,-,-,-,12,32,16,6,184,732,135,85,21,2,27,54,41,2,253,2.64,0.199,0.249,0.354,0.603,0.269,0.96,159,124,167,3.14,5.4,"$22,000,000 "
SP,Omari,Hillmon,PHI,R,20,13,14,20,12,14,20,14,15,20,20,-,20,-,-,-,-,-,-,14,33,18,3,233.1,890,140,92,26,2,20,50,63,0,294,1.93,0.172,0.233,0.283,0.516,0.24,0.87,197,182,229,2.7,8.4,"$9,920,000 "
SP,J.B.,Bukauskas,SF,R,19,12,14,17,11,14,20,13,15,18,13,-,20,-,-,-,-,-,-,16,32,9,16,185.2,801,188,118,43,5,22,112,57,2,185,5.43,0.261,0.321,0.426,0.747,0.319,1.32,197,159,80,3.87,3.6,"$6,500,000 "
SP,Matt,Ruppenthal,ARI,R,20,11,11,19,10,11,20,11,11,13,20,-,19,-,-,-,-,-,-,16,32,14,5,184,743,121,75,23,1,22,69,79,0,227,3.38,0.189,0.287,0.331,0.618,0.249,1.09,166,132,131,3.82,3.8,"$5,000,000 "
SP,Francisco A.,Morales,COL,R,17,12,11,15,11,11,18,13,11,17,12,-,19,-,-,-,-,-,-,13,0,4,8,76,363,86,56,16,1,13,56,51,8,104,6.63,0.281,0.391,0.467,0.859,0.384,1.8,60,57,70,4.65,0.3,"$535,000 "
SP,Robbie,Ray,NYY,L,17,11,10,18,12,11,16,11,10,16,11,12,19,-,-,-,-,-,-,14,31,13,8,166.2,712,164,101,26,6,31,85,71,2,179,4.59,0.259,0.338,0.466,0.804,0.313,1.41,162,125,96,4.87,1.4,"$13,340,000 "
SP,Alec,Hansen,ARI,R,18,10,11,17,9,11,19,11,11,17,16,13,18,-,-,-,-,-,-,12,32,11,9,176.2,751,149,90,34,3,22,89,72,3,175,4.53,0.225,0.305,0.385,0.69,0.271,1.25,153,189,97,4.18,2.8,"$3,800,000 "
SP,Jon,Gray,POR,R,16,11,15,15,10,15,17,11,15,18,11,-,18,-,-,-,-,-,-,17,5,2,6,102.2,403,70,42,12,1,15,34,28,0,130,2.98,0.192,0.254,0.354,0.609,0.246,0.95,76,93,146,3.57,1.5,"$7,750,000 "
SP,Noah,Syndergaard,LAD,R,20,14,18,20,13,18,20,14,19,19,11,19,18,-,-,-,-,-,-,15,30,16,8,191.2,767,164,100,40,2,22,75,31,1,218,3.52,0.226,0.259,0.378,0.636,0.29,1.02,164,178,124,2.99,6,"$23,100,000 "
SP,Carlos,Rodon,MIL,L,17,11,15,17,11,14,17,11,15,17,16,-,18,-,-,14,-,-,-,14,22,9,11,155.1,658,149,88,29,0,32,85,52,5,176,4.92,0.248,0.312,0.457,0.769,0.298,1.29,133,137,90,4.67,1.3,"$14,000,000 "
SP,Blake,Snell,HOU,L,16,11,11,18,12,11,16,11,11,16,17,-,18,-,-,-,-,-,-,16,31,14,5,185,770,154,98,21,2,33,80,73,0,204,3.89,0.223,0.297,0.402,0.699,0.265,1.23,155,177,113,4.58,2.1,"$9,000,000 "
SP,Erick,Fedde,NYY,R,14,12,15,13,11,15,15,12,15,14,12,-,18,-,-,-,-,-,-,14,22,7,7,132.1,583,139,86,27,1,25,93,50,2,122,6.32,0.268,0.337,0.469,0.806,0.302,1.43,131,128,70,5.13,0.6,"$11,500,000 "
SP,Sean,Manaea,CLE,L,15,12,14,16,14,14,14,12,14,16,14,-,17,-,-,-,-,-,-,16,29,13,9,171.1,726,168,100,32,4,32,86,55,3,162,4.52,0.252,0.311,0.456,0.768,0.287,1.3,164,165,98,4.77,1.6,"$13,000,000 "
SP,Tanner,Houck,CAR,R,14,15,13,13,13,12,15,16,13,-,14,-,17,16,-,-,-,-,-,16,33,7,12,186.1,782,152,105,32,4,11,62,80,6,145,2.99,0.227,0.321,0.336,0.658,0.272,1.25,213,173,144,3.91,3.4,"$8,125,000 "
SP,Brandon,Finnegan,TOR,L,15,11,14,17,12,14,15,11,14,17,16,-,17,-,-,-,-,-,-,13,32,10,11,181.2,761,183,121,36,6,20,78,44,0,164,3.86,0.263,0.317,0.418,0.734,0.317,1.25,172,178,114,3.82,3.7,"$14,500,000 "
SP,Yu,Darvish,WAS,R,16,11,16,15,10,16,16,11,16,13,9,14,17,-,12,13,-,-,-,15,33,17,9,206.1,843,183,120,35,3,25,74,47,0,205,3.23,0.236,0.287,0.385,0.672,0.287,1.11,208,185,138,3.69,4.7,"$17,500,000 "
SP,Griffin,Jax,POR,R,20,14,12,19,13,12,20,14,12,14,20,9,16,-,-,-,5,-,-,8,33,9,5,163.2,664,119,90,12,1,16,43,58,0,207,2.36,0.2,0.275,0.304,0.579,0.275,1.08,146,121,186,3.16,4.7,"$6,957,500 "
SP,Spencer,Adams,NYY,R,13,10,15,12,9,14,14,10,15,11,15,-,16,-,-,-,-,-,-,17,9,8,1,162.1,715,184,119,32,3,30,95,54,7,144,5.27,0.285,0.348,0.484,0.832,0.324,1.47,149,168,84,4.95,0,"$1,200,000 "
