player_id,pitching_ratings_overall_stuff,pitching_ratings_overall_control,pitching_ratings_overall_movement,pitching_ratings_pitches_fastball,pitching_ratings_pitches_slider,pitching_ratings_pitches_curveball,pitching_ratings_pitches_screwball,pitching_ratings_pitches_forkball,pitching_ratings_pitches_changeup,pitching_ratings_pitches_sinker,pitching_ratings_pitches_splitter,pitching_ratings_pitches_knuckleball,pitching_ratings_pitches_cutter,pitching_ratings_pitches_circlechange,pitching_ratings_pitches_knucklecurve
1,1,2,31,12,0,0,0,0,0,0,0,0,0,0,0
2,100,49,47,121,0,0,0,0,0,0,92,0,0,0,0
3,110,78,98,84,0,0,0,0,123,0,109,0,0,0,0
5,64,104,95,68,68,0,0,0,0,0,0,0,0,0,0
6,1,5,27,12,0,0,0,0,0,0,0,0,0,0,0
7,189,141,99,166,174,0,0,0,152,0,0,0,140,0,0
8,148,142,108,168,163,0,0,0,154,0,0,0,0,0,0
9,1,1,27,12,0,0,0,0,0,0,0,0,0,0,0
10,109,158,101,116,110,56,0,0,82,0,0,0,0,0,0
11,81,72,106,95,0,80,0,0,30,0,0,0,0,0,0
12,1,1,32,13,0,0,0,0,0,0,0,0,0,0,0
13,1,7,27,0,0,0,0,0,0,0,0,0,0,0,0
14,134,118,133,124,0,0,0,0,88,0,0,0,144,0,0
15,38,22,31,54,65,0,0,0,1,0,0,0,0,0,0
16,1,8,12,0,0,0,0,0,0,0,0,0,0,0,0
17,1,21,29,1,0,0,0,0,0,0,0,0,0,0,0
18,1,1,36,0,0,0,0,0,0,0,0,0,0,0,0
19,179,86,138,154,0,183,0,0,8,0,0,0,0,0,0
20,92,159,123,98,0,100,0,0,45,0,0,0,0,0,0
21,177,104,112,170,149,0,0,0,82,0,0,0,0,0,0
22,25,9,43,36,34,0,0,36,17,0,0,0,0,0,0
23,1,10,37,0,0,0,0,0,0,0,0,0,0,0,0
24,55,20,48,80,0,0,0,0,1,66,0,0,0,0,0
25,27,7,63,68,0,24,0,0,5,0,0,0,0,0,0
27,1,1,23,12,0,0,0,0,0,0,0,0,0,0,0
28,44,31,31,62,65,32,0,0,0,0,0,0,0,0,0
29,138,100,110,152,149,0,0,0,0,0,0,0,0,0,0
30,94,66,95,108,0,0,0,0,0,0,101,0,0,0,0
31,90,84,97,96,0,0,0,0,104,0,0,0,0,0,0
32,50,2,64,97,0,33,0,0,1,0,0,0,0,0,0
33,90,127,113,92,114,0,0,0,110,0,0,0,0,0,0
34,1,9,30,2,0,0,0,0,0,0,0,0,0,0,0
35,75,70,73,92,86,0,0,0,80,0,0,0,0,0,0
36,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0
37,50,16,34,0,0,90,0,0,3,0,0,0,59,0,0
38,135,146,117,130,169,0,0,0,118,0,0,0,0,0,0
39,2,13,32,13,0,0,0,0,0,0,0,0,0,0,0
40,123,158,109,106,0,76,0,0,164,0,0,0,107,0,0
41,163,106,118,168,0,60,0,0,0,0,144,0,0,0,0
42,115,50,89,94,0,146,0,0,0,0,0,0,0,103,0
43,51,18,50,62,58,0,0,62,3,0,0,0,0,0,0
44,94,146,127,121,0,78,0,0,0,0,0,0,0,53,0
45,125,109,111,142,110,100,0,0,112,0,0,0,0,0,0
46,1,1,33,13,0,0,0,0,0,0,0,0,0,0,0
47,37,15,22,48,0,46,0,0,0,0,30,0,0,0,0
48,74,19,52,75,0,76,0,0,83,0,71,0,0,0,0
49,113,92,63,131,100,76,0,0,56,0,84,0,0,0,0
50,102,83,67,120,85,0,0,101,71,0,0,0,73,0,0
51,60,63,89,100,0,42,0,0,46,0,0,0,0,0,0
52,1,1,27,12,0,0,0,0,0,0,0,0,0,0,0
53,1,7,33,2,0,0,0,0,0,0,0,0,0,0,0
55,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0
56,1,3,31,0,0,0,0,0,0,0,0,0,0,0,0
57,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0
58,1,1,27,13,0,0,0,0,0,0,0,0,0,0,0
59,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0
60,2,1,34,13,0,0,0,0,0,0,0,0,0,0,0
61,40,10,41,54,0,0,0,0,7,51,0,0,0,0,0
62,73,40,35,87,73,67,0,76,52,0,0,0,0,0,0
63,1,11,13,0,0,0,0,0,0,0,0,0,0,0,0
64,2,3,28,13,0,0,0,0,0,0,0,0,0,0,0
65,116,88,39,130,79,0,0,105,0,0,0,0,0,0,0
67,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0
68,177,89,68,153,0,183,0,0,14,0,0,0,0,0,0
69,1,1,21,13,0,0,0,0,0,0,0,0,0,0,0
70,17,26,62,54,0,20,0,0,7,0,0,0,0,0,0
