human_manager_id,team_id,year,league_id,sub_league_id,division_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,tavg,woba,ops,sbp
1,52,2020,145,1,1,1,0,562,493,129,111,218,78,30,4,17,7,0,66,71,59,4,1,7,2,0,9,174,117,51,0,0.2617,0.3405,0.4422,77.1502,5.4530,0.1805,0.2617,0.0000,0.7827,100.0000
1,52,2021,145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,39,2017,145,1,2,1,0,6224,5610,1504,1347,2629,913,311,26,254,96,42,803,832,483,45,56,36,39,0,106,2190,1459,591,0,0.2681,0.3302,0.4686,866.6215,5.4051,0.2005,0.2681,0.0000,0.7988,69.5652
2,39,2018,145,1,2,1,0,6406,5746,1584,1422,2624,1037,285,31,231,144,45,825,845,503,49,60,59,37,1,78,2257,1458,547,0,0.2757,0.3383,0.4567,910.8600,5.6136,0.1810,0.2757,0.0000,0.7950,76.1905
2,39,2019,145,1,2,1,0,6333,5681,1545,1291,2663,966,295,29,255,95,37,850,891,495,50,61,54,42,0,108,2246,1458,579,0,0.2720,0.3346,0.4688,893.7990,5.5135,0.1968,0.2720,0.0000,0.8034,71.9697
2,39,2020,145,1,2,1,0,6298,5647,1557,1327,2644,974,312,38,233,86,52,819,843,510,35,36,62,42,1,108,2157,1458,583,0,0.2757,0.3373,0.4682,887.3126,5.5024,0.1925,0.2757,0.0000,0.8055,62.3188
2,39,2021,145,1,2,1,0,6285,5630,1464,1310,2389,959,283,24,198,87,31,730,750,516,31,59,46,32,2,125,2234,1458,505,0,0.2600,0.3269,0.4243,784.0808,4.8114,0.1643,0.2600,0.0000,0.7513,73.7288
2,39,2022,145,1,2,1,0,6209,5569,1452,1296,2371,943,286,36,187,65,26,733,763,496,30,34,64,45,1,136,2202,1458,509,0,0.2607,0.3226,0.4257,759.7445,4.6748,0.1650,0.2607,0.0000,0.7483,71.4286
2,39,2023,145,1,2,1,0,6222,5593,1506,1358,2619,918,311,29,248,79,33,811,840,483,31,59,51,35,1,122,2310,1449,588,0,0.2693,0.3319,0.4683,863.4770,5.3868,0.1990,0.2693,0.0000,0.8002,70.5357
2,39,2024,145,1,2,1,0,6316,5615,1457,1300,2461,905,308,36,208,103,33,773,805,558,31,42,58,42,1,132,2348,1458,552,0,0.2595,0.3288,0.4383,813.2754,4.9646,0.1788,0.2595,0.0000,0.7670,75.7353
2,39,2025,145,1,2,1,0,6060,5470,1356,1439,2170,887,287,19,163,53,27,619,641,459,20,52,45,31,3,139,2335,1458,469,0,0.2479,0.3105,0.3967,664.0949,4.1163,0.1488,0.2479,0.0000,0.7073,66.2500
2,39,2026,145,1,2,1,0,6182,5570,1450,1240,2220,978,306,34,132,73,29,659,680,461,21,55,53,42,1,137,2332,1458,472,0,0.2603,0.3208,0.3986,709.4172,4.3721,0.1382,0.2603,0.0000,0.7194,71.5686
2,39,2027,145,1,2,1,0,6363,5682,1508,1342,2363,1019,282,48,159,69,39,750,785,535,19,59,44,42,1,102,2236,1458,489,0,0.2654,0.3327,0.4159,799.2878,4.9036,0.1505,0.2654,0.0000,0.7486,63.8889
2,39,2028,145,1,2,1,0,6183,5538,1418,1295,2344,908,283,38,189,70,37,693,717,522,26,36,45,41,1,133,2239,1458,510,0,0.2560,0.3220,0.4233,748.8794,4.6206,0.1672,0.2560,0.0000,0.7452,65.4206
2,39,2029,145,1,2,1,0,6364,5605,1473,1258,2389,947,312,38,176,86,27,761,800,587,34,51,70,51,0,119,2183,1458,526,0,0.2628,0.3354,0.4262,819.3717,5.0291,0.1634,0.2628,0.0000,0.7616,76.1062
2,39,2030,145,1,2,1,0,6242,5565,1498,1285,2459,971,297,26,204,136,40,759,792,512,18,82,43,40,0,122,2230,1458,527,0,0.2692,0.3375,0.4419,841.8288,5.2712,0.1727,0.2692,0.0000,0.7793,77.2727
2,39,2031,145,1,2,1,0,6316,5557,1411,1270,2385,897,269,30,215,89,21,764,793,590,21,81,45,43,0,103,2231,1467,514,0,0.2539,0.3320,0.4292,820.2892,5.0821,0.1753,0.2539,0.0000,0.7612,80.9091
2,39,2032,145,1,2,1,0,6300,5565,1375,1369,2414,854,250,24,247,62,12,711,752,569,16,66,52,44,4,141,2254,1458,521,0,0.2471,0.3219,0.4338,783.7095,4.7669,0.1867,0.2471,0.0000,0.7557,83.7838
2,39,2033,145,1,2,1,0,6268,5559,1376,1409,2365,862,266,21,227,45,11,716,752,543,21,94,42,29,1,152,2319,1458,514,0,0.2475,0.3234,0.4254,763.2261,4.6654,0.1779,0.2475,0.0000,0.7488,80.3571
2,39,2034,145,1,2,1,0,6302,5590,1485,1452,2809,820,327,17,321,50,22,863,888,538,22,84,58,32,0,134,2242,1458,665,0,0.2657,0.3374,0.5025,940.4551,5.8360,0.2369,0.2657,0.0000,0.8399,69.4444
2,39,2035,145,1,2,1,0,6297,5631,1446,1450,2441,901,304,32,209,35,20,740,767,480,9,102,48,34,2,119,2326,1458,545,0,0.2568,0.3246,0.4335,795.4565,4.8746,0.1767,0.2568,0.0000,0.7581,63.6364
2,39,2036,145,1,2,1,0,6381,5729,1563,1308,2602,1021,272,43,227,44,14,783,816,483,26,84,49,34,2,128,2301,1458,542,0,0.2728,0.3365,0.4542,875.3246,5.3823,0.1814,0.2728,0.0000,0.7907,75.8621
2,39,2037,145,1,2,1,0,6286,5655,1436,1438,2471,879,306,24,227,28,17,750,773,497,16,76,14,42,2,137,1670,1458,557,0,0.2539,0.3204,0.4370,785.0688,4.7859,0.1830,0.2539,0.0000,0.7574,62.2222
2,39,2038,145,1,2,1,0,6065,5465,1294,1564,2338,755,271,31,237,50,20,704,727,491,22,74,5,30,0,116,1576,1458,539,0,0.2368,0.3068,0.4278,716.8646,4.4577,0.1910,0.2368,0.0000,0.7346,71.4286
2,39,2039,145,1,2,1,0,6016,5416,1206,1775,2216,682,271,20,233,37,14,653,676,514,11,44,16,25,1,107,1580,1458,524,0,0.2227,0.2940,0.4092,655.2279,4.0465,0.1865,0.2227,0.0000,0.7032,72.5490
2,39,2040,145,1,2,1,0,3049,2739,652,810,1097,409,136,12,95,18,10,348,363,271,8,17,9,12,1,43,850,711,243,0,0.2380,0.3093,0.4005,346.3258,4.3271,0.1625,0.2380,0.0000,0.7098,64.2857
3,32,2017,145,1,0,1,0,6251,5592,1429,1362,2172,970,301,32,126,119,47,649,681,531,35,51,49,27,1,122,2225,1458,459,0,0.2555,0.3243,0.3884,711.9315,4.3607,0.1329,0.2555,0.0000,0.7127,71.6867
3,32,2018,145,1,0,1,0,239,213,55,60,86,36,13,0,6,6,1,23,23,20,1,4,1,1,0,5,80,54,19,0,0.2582,0.3319,0.4038,29.3649,4.7762,0.1455,0.2582,0.0000,0.7357,85.7143
3,33,2021,145,0,0,1,0,6168,5578,1337,1513,2261,854,252,21,210,90,45,690,705,478,19,57,17,38,0,100,1587,1458,483,0,0.2397,0.3043,0.4053,691.7408,4.2056,0.1657,0.2397,0.0000,0.7097,66.6667
3,33,2022,145,0,0,1,0,6196,5597,1424,1312,2272,959,262,23,180,144,59,724,756,494,21,54,18,33,0,97,1584,1458,465,0,0.2544,0.3192,0.4059,735.7848,4.5357,0.1515,0.2544,0.0000,0.7251,70.9360
3,33,2023,145,0,0,1,0,6262,5588,1472,1367,2562,896,307,24,245,87,40,837,863,567,17,66,9,32,0,132,1586,1449,576,0,0.2634,0.3366,0.4585,860.8425,5.3691,0.1951,0.2634,0.0000,0.7951,68.5039
3,33,2024,145,0,0,1,0,6249,5610,1477,1356,2513,942,276,17,242,46,13,807,832,512,9,76,6,44,1,130,1614,1458,535,0,0.2633,0.3308,0.4480,834.7103,5.2097,0.1847,0.2633,0.0000,0.7788,77.9661
3,33,2025,145,0,0,1,0,6344,5669,1572,1348,2685,996,293,29,254,64,42,886,920,557,19,61,12,44,1,115,1680,1458,576,0,0.2773,0.3459,0.4736,930.4877,5.8290,0.1963,0.2773,0.0000,0.8195,60.3774
3,33,2026,145,0,0,1,0,6315,5606,1471,1334,2507,937,267,32,235,84,37,782,810,576,11,73,12,47,1,136,1592,1458,534,0,0.2624,0.3364,0.4472,847.1454,5.2377,0.1848,0.2624,0.0000,0.7836,69.4215
3,33,2027,145,0,0,1,0,6257,5524,1377,1414,2511,812,268,25,272,82,37,805,838,583,14,94,16,40,0,111,1682,1458,565,0,0.2493,0.3291,0.4546,839.2675,5.2080,0.2053,0.2493,0.0000,0.7837,68.9076
3,33,2028,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,34,2017,145,0,0,1,0,6314,5690,1562,1110,2515,1023,316,32,191,56,27,758,787,497,39,48,34,44,1,131,1615,1467,539,0,0.2745,0.3356,0.4420,838.5794,5.1883,0.1675,0.2745,0.0000,0.7776,67.4699
4,34,2018,145,0,0,1,0,6290,5626,1503,1116,2384,990,317,24,172,62,15,758,786,516,34,66,24,55,3,133,1558,1458,513,0,0.2672,0.3329,0.4237,800.9882,4.9717,0.1566,0.2672,0.0000,0.7567,80.5195
4,34,2019,145,0,0,1,0,6402,5729,1582,1128,2625,982,360,37,203,53,20,843,874,549,49,54,24,45,1,140,1556,1458,600,0,0.2761,0.3426,0.4582,896.0744,5.5288,0.1821,0.2761,0.0000,0.8008,72.6027
4,34,2020,145,0,0,1,0,6390,5734,1547,1156,2463,1023,309,38,177,64,27,774,802,535,58,34,32,55,0,134,1595,1458,524,0,0.2698,0.3328,0.4295,818.2180,4.9813,0.1597,0.2698,0.0000,0.7624,70.3297
4,34,2021,145,0,0,1,0,6361,5665,1530,1157,2489,1002,302,21,205,50,18,828,860,586,44,45,21,44,0,166,1601,1458,528,0,0.2701,0.3409,0.4394,839.6018,5.1709,0.1693,0.2701,0.0000,0.7802,73.5294
4,34,2022,145,0,0,1,0,6335,5657,1474,1222,2452,934,304,34,202,42,27,763,794,581,49,40,21,35,1,133,1586,1458,540,0,0.2606,0.3319,0.4334,810.0728,4.9720,0.1729,0.2606,0.0000,0.7653,60.8696
4,34,2023,145,0,0,1,0,6455,5715,1526,1300,2568,948,333,26,219,36,14,841,867,608,18,50,35,46,1,135,1593,1458,578,0,0.2670,0.3402,0.4493,881.3625,5.3851,0.1823,0.2670,0.0000,0.7896,72.0000
