human_manager_id,team_id,year,league_id,sub_league_id,division_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
1,52,2020,145,1,1,0,0,0,0,0,525,144,377,4,21,0,0,5,0,0,1131,0,0.9924,4.1459,0.0000,0.0000
1,52,2021,145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2,39,2017,145,1,2,0,0,0,0,0,6053,1619,4352,82,341,0,11,107,38,0,13059,0,0.9865,4.1151,0.3551,0.0000
2,39,2018,145,1,2,0,0,0,0,0,6114,1634,4396,84,349,0,21,109,44,0,13188,0,0.9863,4.1151,0.4037,0.0000
2,39,2019,145,1,2,0,0,0,0,0,6138,1681,4370,87,344,0,4,94,22,0,13110,0,0.9858,4.1540,0.2340,0.0000
2,39,2020,145,1,2,0,0,0,0,0,6068,1598,4370,100,344,0,14,115,34,0,13110,0,0.9835,4.0970,0.2957,0.0000
2,39,2021,145,1,2,0,0,0,0,0,6053,1609,4348,96,321,0,14,139,38,0,13047,0,0.9841,4.1092,0.2734,0.0000
2,39,2022,145,1,2,0,0,0,0,0,6047,1613,4340,94,387,0,11,147,41,0,13026,0,0.9845,4.1131,0.2789,0.0000
2,39,2023,145,1,2,1,0,0,0,732,5967,1559,4307,101,372,0,11,174,35,0,12921,0,0.9831,4.0859,0.2011,0.0000
2,39,2024,145,1,2,1,0,0,0,1468,5975,1517,4367,91,354,0,13,130,32,0,13104,0,0.9848,4.0412,0.2462,0.0000
2,39,2025,145,1,2,1,0,0,0,1468,5896,1517,4294,85,411,3,21,137,22,0,12882,0,0.9856,4.0599,0.1606,0.0000
2,39,2026,145,1,2,1,0,0,0,1468,5926,1554,4276,96,360,0,15,151,24,0,12828,0,0.9838,4.0903,0.1589,0.0000
2,39,2027,145,1,2,1,0,0,0,1468,5973,1514,4349,110,385,0,15,144,32,0,13047,0,0.9816,4.0444,0.2222,0.0000
2,39,2028,145,1,2,1,0,0,0,1468,5997,1566,4339,92,354,0,11,142,30,0,13017,0,0.9847,4.0827,0.2113,0.0000
2,39,2029,145,1,2,1,0,0,0,1468,6024,1530,4402,92,385,0,15,117,27,0,13206,0,0.9847,4.0427,0.2308,0.0000
2,39,2030,145,1,2,1,0,0,0,1468,5823,1400,4338,85,297,0,19,108,33,0,13014,0,0.9854,3.9682,0.3056,0.0000
2,39,2031,145,1,2,1,0,0,0,1477,5892,1453,4368,71,352,0,24,136,33,0,13104,0,0.9879,3.9979,0.2426,0.0000
2,39,2032,145,1,2,1,0,0,0,1468,5950,1448,4405,97,324,0,10,110,28,0,13215,0,0.9837,3.9862,0.2545,0.0000
2,39,2033,145,1,2,1,0,0,0,1468,5921,1428,4394,99,389,0,17,121,32,0,13182,0,0.9833,3.9750,0.2645,0.0000
2,39,2034,145,1,2,1,0,0,0,1468,5987,1509,4390,88,439,0,24,115,33,0,13170,0,0.9853,4.0312,0.2870,0.0000
2,39,2035,145,1,2,1,0,0,0,1468,5918,1478,4345,95,367,0,5,137,34,0,13035,0,0.9839,4.0205,0.2482,0.0000
2,39,2036,145,1,2,1,0,0,0,1468,6015,1565,4356,94,342,0,26,149,42,0,13068,0,0.9844,4.0778,0.2819,0.0000
2,39,2037,145,1,2,1,0,0,0,1620,6158,1647,4427,84,442,0,14,144,53,0,13281,0,0.9864,4.1161,0.3681,0.0000
2,39,2038,145,1,2,1,0,0,0,1620,5915,1551,4289,75,422,0,17,88,25,0,12867,0,0.9873,4.0849,0.2841,0.0000
2,39,2039,145,1,2,1,0,0,0,1620,5860,1467,4309,84,417,0,7,140,35,0,12927,0,0.9857,4.0214,0.2500,0.0000
2,39,2040,145,1,2,1,0,6,0,850,3191,840,2300,51,190,0,5,166,44,0,6900,0,0.9840,4.0957,0.2651,0.0000
3,32,2017,145,1,0,0,0,0,0,0,6179,1746,4332,101,421,0,10,148,32,0,12999,0,0.9837,4.2082,0.2162,0.0000
3,32,2018,145,1,0,0,0,0,0,0,226,68,156,2,5,0,0,5,1,0,468,0,0.9912,4.3077,0.2000,0.0000
3,33,2021,145,0,0,0,0,0,0,0,6188,1720,4342,126,457,0,15,168,43,0,13026,0,0.9796,4.1884,0.2560,0.0000
3,33,2022,145,0,0,0,0,0,0,0,6157,1742,4309,106,507,0,15,144,42,0,12927,0,0.9828,4.2128,0.2917,0.0000
3,33,2023,145,0,0,1,0,0,0,795,5759,1388,4290,81,409,0,15,112,26,0,12873,0,0.9859,3.9697,0.2321,0.0000
3,33,2024,145,0,0,1,0,0,0,1610,5884,1464,4325,95,410,0,16,135,37,0,12978,0,0.9839,4.0146,0.2741,0.0000
3,33,2025,145,0,0,1,0,0,0,1610,5897,1484,4323,90,431,0,15,105,34,0,12969,0,0.9847,4.0298,0.3238,0.0000
3,33,2026,145,0,0,1,0,0,0,1610,5899,1533,4280,86,432,0,16,109,29,0,12840,0,0.9854,4.0745,0.2661,0.0000
3,33,2027,145,0,0,1,0,0,0,1610,5920,1536,4306,78,401,0,14,111,34,0,12918,0,0.9868,4.0701,0.3063,0.0000
3,33,2028,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
4,34,2017,145,0,0,0,0,0,0,0,6033,1589,4361,83,382,0,15,91,27,0,13083,0,0.9862,4.0931,0.2967,0.0000
