human_manager_id,team_id,year,league_id,sub_league_id,division_id,gate_revenue,media_revenue,merchandising_revenue,other_revenue,revenue_sharing,playoff_revenue,cash,player_expenses,staff_expenses,stadium_expenses,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,budget,market,owner_expectation
1,52,2020,145,1,1,0,0,0,'',0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0
1,52,2021,145,1,1,0,0,0,'',0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0
2,39,2017,145,1,2,46130053,80000000,23207902,'',0,26051625,4550000,111249273,0,0,3312148,82,6,0,21.6403,146000000,6,0
2,39,2018,145,1,2,39286254,82500000,24820815,'',270640,20398236,17750000,155771826,0,0,3233725,88,6,1,23.8441,162000000,6,0
2,39,2019,145,1,2,43583506,85000000,26687759,'',0,1173096,19000000,142185055,0,0,3711393,92,7,0,23.0958,180000000,6,0
2,39,2020,145,1,2,47225766,85000000,27662662,'',0,1219071,20000000,165439591,0,0,3833977,93,7,0,23.0742,200000000,6,0
2,39,2021,145,1,2,20167452,85000000,25301271,'',0,0,20000000,146835649,0,0,2331646,77,8,-15,25.6539,208000000,6,0
2,39,2022,145,1,2,22622610,80000000,23299488,'',116,0,12102941,104293605,0,0,2178262,67,8,-1,24.4557,168000000,6,0
2,39,2023,145,1,2,37117474,80000000,24779271,'',5686963,1191275,20000000,132398054,0,0,3073563,77,8,0,22.9001,170000000,6,0
2,39,2024,145,1,2,27247720,82500000,26013762,'',5857799,0,20000000,173782629,0,0,2751951,77,8,0,23.6935,178000000,6,0
2,39,2025,145,1,2,24634839,82500000,22305114,'',21,0,-1100000,139481487,0,0,2923597,73,8,-10,20.2008,170000000,6,0
2,39,2026,145,1,2,20394128,80000000,21133292,'',159,0,-310000,83658137,0,0,2342553,70,8,-10,17.9714,150000000,6,0
2,39,2027,145,1,2,25762068,80000000,22827101,'',3823790,0,26552995,62783626,0,0,2788820,67,8,0,17.3673,134000000,6,0
2,39,2028,145,1,2,24947754,80000000,28077701,'',3947379,0,30000000,80341505,0,0,3116245,67,10,8,20.1495,148000000,7,0
2,39,2029,145,1,2,33837809,87500000,29880063,'',3790093,22260373,20000000,87229213,0,0,3921651,70,10,13,19.7378,164000000,7,0
2,39,2030,145,1,2,35418653,90000000,28012102,'',4550568,11493656,10000000,79725147,0,0,3753718,71,10,2,20.8863,182000000,7,0
2,39,2031,145,1,2,37713299,87500000,32353744,'',5633722,26252464,10000000,132880305,0,0,3689911,74,10,4,21.7870,200000000,7,0
2,39,2032,145,1,2,27277042,97500000,31808800,'',5727436,0,10000000,198473773,0,0,2895861,74,10,2,24.9866,214000000,7,0
