human_manager_id,team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,cera,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,52,2020,145,1,1,1,0,457,125,520,148,93,124,52,52,45,44,149,96,1989,2,49,13,8,5,2,58,24,5,3,2,9,0,0,2,3,3,13,7,9,4,2,36,0,0,5,0,4,10.5995,0.2035,0.2874,0.3239,0.6112,6.6605,8.8806,0.6446,3.7241,0.0000,'',0.0000,0.6923,0.6154,4.0000,0.5000,0.5000,0.3611,3.1512,40.5918,0.0000,1.1538,0.6082,2.3846,0.2569
1,52,2021,145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,39,2017,145,1,2,1,0,5475,1451,6167,2188,1317,1470,602,567,678,635,1577,1119,23213,0,585,162,99,63,51,835,269,35,36,37,176,2,0,60,63,54,153,110,85,74,23,423,9,3,69,38,78,12.0207,0.2405,0.3160,0.3996,0.7157,8.1688,9.1178,1.0917,3.5169,0.0556,'',0.0000,0.5247,0.6111,3.7160,0.6892,0.3108,0.3617,3.9387,39.6803,0.0000,1.2984,0.5849,2.5926,0.2952
2,39,2018,145,1,2,1,0,5597,1465,6279,2331,1404,1432,603,556,761,708,1589,1179,23512,1,626,162,95,67,55,907,261,38,29,42,194,3,0,63,60,59,154,112,83,82,26,464,8,0,65,44,84,12.4006,0.2508,0.3235,0.4165,0.7400,8.6233,8.7953,1.1915,3.4149,0.0494,'',0.0000,0.5123,0.5864,3.7222,0.6790,0.3171,0.3319,4.3485,37.5591,0.0000,1.3376,0.5741,2.5755,0.3025
2,39,2019,145,1,2,1,0,5578,1456,6254,2310,1406,1423,676,521,739,688,1655,1119,23134,2,633,162,95,67,47,914,269,46,41,34,189,4,0,69,67,68,156,111,93,67,20,471,6,3,72,22,74,12.3261,0.2521,0.3214,0.4141,0.7355,8.6870,8.7920,1.1677,3.2190,0.0370,'',0.0000,0.5741,0.5864,4.1728,0.7015,0.2985,0.3312,4.2508,36.5466,0.0000,1.3229,0.5966,2.7313,0.3037
2,39,2020,145,1,2,1,0,5499,1456,6210,2159,1324,1470,599,585,698,634,1554,1160,23355,2,532,162,98,64,54,863,257,57,29,34,170,6,0,74,96,40,153,107,88,72,16,370,9,3,81,34,49,12.0419,0.2408,0.3168,0.3926,0.7094,8.1803,9.0824,1.0503,3.6144,0.0556,'',0.0000,0.5432,0.6049,3.6975,0.7714,0.2222,0.4135,3.9172,43.9004,0.0000,1.3105,0.5726,2.5128,0.2968
2,39,2021,145,1,2,1,0,5590,1449,6411,2291,1453,1418,497,662,816,750,1581,1175,23936,2,615,162,75,87,40,993,252,55,48,38,170,7,0,76,84,56,159,97,68,66,25,453,3,1,101,38,61,13.4783,0.2599,0.3416,0.4098,0.7514,9.0207,8.8034,1.0554,4.1099,0.0185,'',0.0000,0.4198,0.4630,3.0679,0.6154,0.3788,0.3510,4.6562,38.9203,0.0000,1.4590,0.5737,2.1420,0.3168
2,39,2022,145,1,2,1,0,5578,1447,6325,2354,1456,1363,581,584,810,755,1583,1203,23073,1,600,162,76,86,45,957,282,57,38,35,182,11,0,96,59,68,157,123,84,71,26,438,5,2,106,41,66,13.1082,0.2610,0.3363,0.4220,0.7583,9.0539,8.4756,1.1317,3.6315,0.0309,'',0.0000,0.5185,0.4691,3.5864,0.6338,0.3662,0.3584,4.6948,38.4550,0.0000,1.4095,0.5682,2.3339,0.3129
2,39,2023,145,1,2,1,1,5531,1435,6280,2427,1428,1451,501,589,809,762,1485,1186,23760,2,692,161,88,73,41,885,298,49,33,34,211,11,2,60,86,76,160,120,48,66,24,531,1,0,139,35,69,13.1207,0.2582,0.3360,0.4388,0.7748,8.9519,9.0961,1.3227,3.6924,0.0062,'',0.0000,0.2981,0.5466,3.1118,0.6308,0.3636,0.3013,4.7769,34.3353,0.0000,1.4049,0.5560,2.4635,0.3119
2,39,2024,145,1,2,1,1,5607,1456,6398,2350,1440,1460,518,646,812,758,1497,1231,24086,0,735,162,73,89,32,943,275,34,43,31,191,7,3,63,92,65,160,115,58,61,29,573,2,2,98,32,76,13.2960,0.2568,0.3382,0.4191,0.7573,8.9011,9.0247,1.1806,3.9931,0.0123,'',0.0000,0.3580,0.4506,3.1975,0.5246,0.4754,0.2792,4.6854,32.7701,0.0000,1.4327,0.5488,2.2601,0.3123
