human_manager_id,team_id,year,league_id,sub_league_id,division_id,g,w,l,pos,pct,gb,streak,magic_number
1,52,2020,145,1,1,13,8,5,4,0.6154,14.0000,0,0
1,52,2021,145,1,1,0,0,0,2,0.0000,0.0000,0,0
2,39,2017,145,1,2,162,99,63,1,0.6111,0.0000,0,0
2,39,2018,145,1,2,162,95,67,2,0.5864,15.0000,0,0
2,39,2019,145,1,2,162,95,67,2,0.5864,3.0000,0,0
2,39,2020,145,1,2,162,98,64,2,0.6049,6.0000,0,0
2,39,2021,145,1,2,162,75,87,2,0.4630,46.0000,0,0
2,39,2022,145,1,2,162,76,86,3,0.4691,31.0000,0,0
2,39,2023,145,1,2,161,88,73,2,0.5466,7.5000,0,0
2,39,2024,145,1,2,162,73,89,5,0.4506,18.0000,0,0
2,39,2025,145,1,2,162,62,100,5,0.3827,37.0000,0,0
2,39,2026,145,1,2,162,58,104,5,0.3580,43.0000,0,0
2,39,2027,145,1,2,162,74,88,3,0.4568,35.0000,0,0
2,39,2028,145,1,2,162,75,87,4,0.4630,30.0000,0,0
2,39,2029,145,1,2,162,103,59,1,0.6358,0.0000,0,0
2,39,2030,145,1,2,162,104,58,1,0.6420,0.0000,0,0
2,39,2031,145,1,2,163,99,64,1,0.6074,0.0000,0,0
2,39,2032,145,1,2,162,86,76,2,0.5309,19.0000,0,0
2,39,2033,145,1,2,162,88,74,3,0.5432,10.0000,0,0
2,39,2034,145,1,2,162,107,55,1,0.6605,0.0000,0,0
2,39,2035,145,1,2,162,76,86,2,0.4691,27.0000,0,0
2,39,2036,145,1,2,162,79,83,3,0.4877,23.0000,0,0
2,39,2037,145,1,2,162,89,73,3,0.5494,9.0000,0,0
2,39,2038,145,1,2,162,73,89,4,0.4506,26.0000,0,0
2,39,2039,145,1,2,162,66,96,5,0.4074,32.0000,0,0
2,39,2040,145,1,2,85,45,40,3,0.5294,9.5000,0,0
3,32,2017,145,1,0,162,70,92,4,0.4321,36.0000,0,0
3,32,2018,145,1,0,6,2,4,5,0.3333,3.0000,0,0
3,33,2021,145,0,0,162,57,105,5,0.3519,33.0000,0,0
3,33,2022,145,0,0,162,63,99,4,0.3889,40.0000,0,0
3,33,2023,145,0,0,161,77,84,3,0.4783,17.5000,0,0
3,33,2024,145,0,0,162,83,79,3,0.5123,10.0000,0,0
3,33,2025,145,0,0,162,96,66,2,0.5926,2.0000,0,0
3,33,2026,145,0,0,162,59,103,5,0.3642,39.0000,0,0
3,33,2027,145,0,0,162,72,90,3,0.4444,22.0000,0,0
3,33,2028,145,0,0,0,0,0,1,0.0000,0.0000,0,0
4,34,2017,145,0,0,163,88,75,2,0.5399,14.5000,0,0
4,34,2018,145,0,0,162,87,75,2,0.5370,18.0000,0,0
4,34,2019,145,0,0,162,84,78,3,0.5185,9.0000,0,0
4,34,2020,145,0,0,162,83,79,4,0.5123,13.0000,0,0
4,34,2021,145,0,0,162,70,92,4,0.4321,20.0000,0,0
4,34,2022,145,0,0,162,58,104,5,0.3580,45.0000,0,0
4,34,2023,145,0,0,162,76,86,4,0.4691,19.0000,0,0
4,34,2024,145,0,0,162,69,93,4,0.4259,24.0000,0,0
4,34,2025,145,0,0,162,47,115,5,0.2901,51.0000,0,0
4,34,2026,145,0,0,162,64,98,4,0.3951,34.0000,0,0
4,34,2027,145,0,0,162,70,92,4,0.4321,24.0000,0,0
4,34,2028,145,0,0,162,65,97,3,0.4012,31.0000,0,0
4,34,2029,145,0,0,162,95,67,2,0.5864,11.0000,0,0
4,34,2030,145,0,0,162,94,68,2,0.5802,9.0000,0,0
4,34,2031,145,0,0,162,78,84,2,0.4815,22.0000,0,0
4,34,2032,145,0,0,162,79,83,3,0.4877,12.0000,0,0
4,34,2033,145,0,0,162,76,86,3,0.4691,9.0000,0,0
4,34,2034,145,0,0,162,65,97,5,0.4012,22.0000,0,0
4,34,2035,145,0,0,162,80,82,3,0.4938,8.0000,0,0
4,34,2036,145,0,0,162,74,88,4,0.4568,26.0000,0,0
4,34,2037,145,0,0,50,16,34,5,0.3200,20.0000,0,0
5,35,2017,145,0,1,162,65,97,4,0.4012,34.0000,0,0
5,35,2018,145,0,1,162,71,91,3,0.4383,25.0000,0,0
5,35,2019,145,0,1,162,78,84,3,0.4815,22.0000,0,0
5,35,2020,145,0,1,162,82,80,3,0.5062,15.0000,0,0
5,35,2021,145,0,1,162,90,72,2,0.5556,10.0000,0,0
