league_id,start_date,type,event_over,deleted,name,gender,needs_human_action
148,"2040-4-5",12,0,0,"OPENING DAY",0,0
148,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
148,"2039-9-14",16,0,0,"Offseason starts",0,0
148,"2039-9-22",25,0,0,"Glove Wizard Award announced",0,0
148,"2039-9-23",32,0,0,"Reliever of the Year announced",0,0
148,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
149,"2040-4-5",12,0,0,"OPENING DAY",0,0
149,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
149,"2039-9-22",16,0,0,"Offseason starts",0,0
149,"2039-9-30",25,0,0,"Glove Wizard Award announced",0,0
149,"2039-10-1",32,0,0,"Reliever of the Year announced",0,0
149,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
150,"2040-4-5",12,0,0,"OPENING DAY",0,0
150,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
150,"2039-9-18",16,0,0,"Offseason starts",0,0
150,"2039-9-26",25,0,0,"Glove Wizard Award announced",0,0
150,"2039-9-27",32,0,0,"Reliever of the Year announced",0,0
150,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
151,"2040-4-5",12,0,0,"OPENING DAY",0,0
151,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
151,"2039-9-23",16,0,0,"Offseason starts",0,0
151,"2039-10-1",25,0,0,"Glove Wizard Award announced",0,0
151,"2039-10-2",32,0,0,"Reliever of the Year announced",0,0
151,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
152,"2040-4-12",12,0,0,"OPENING DAY",0,0
152,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
152,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
153,"2040-4-5",12,0,0,"OPENING DAY",0,0
153,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
153,"2039-9-24",16,0,0,"Offseason starts",0,0
153,"2039-10-2",25,0,0,"Glove Wizard Award announced",0,0
153,"2039-10-3",32,0,0,"Reliever of the Year announced",0,0
153,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
154,"2040-4-5",12,0,0,"OPENING DAY",0,0
154,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
154,"2039-9-22",16,0,0,"Offseason starts",0,0
145,"2039-11-11",16,0,0,"Offseason starts",0,0
162,"2033-11-8",29,0,0,"2017 All-Star Voting Begins",0,0
162,"2033-11-8",14,0,0,"2017 All-Star Teams announced",0,0
162,"2017-7-15",20,0,0,"2017 All-Star Game",0,0
163,"2033-11-8",29,0,0,"2017 All-Star Voting Begins",0,0
163,"2033-11-8",14,0,0,"2017 All-Star Teams announced",0,0
163,"2017-5-23",20,0,0,"2017 All-Star Game",0,0
164,"2033-11-8",29,0,0,"2017 All-Star Voting Begins",0,0
164,"2033-11-8",14,0,0,"2017 All-Star Teams announced",0,0
164,"2017-7-17",20,0,0,"2017 All-Star Game",0,0
168,"2033-11-8",29,0,0,"2017 All-Star Voting Begins",0,0
146,"2040-4-12",12,0,0,"OPENING DAY",0,0
146,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
146,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
147,"2040-4-12",12,0,0,"OPENING DAY",0,0
147,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
168,"2033-11-8",14,0,0,"2017 All-Star Teams announced",0,0
168,"2017-7-24",20,0,0,"2017 All-Star Game",0,0
126,"2033-11-8",29,0,0,"2017 All-Star Voting Begins",0,0
147,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
154,"2039-9-30",25,0,0,"Glove Wizard Award announced",0,0
154,"2039-10-1",32,0,0,"Reliever of the Year announced",0,0
154,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
155,"2040-4-5",12,0,0,"OPENING DAY",0,0
155,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
155,"2039-9-25",16,0,0,"Offseason starts",0,0
155,"2039-10-3",25,0,0,"Glove Wizard Award announced",0,0
155,"2039-10-4",32,0,0,"Reliever of the Year announced",0,0
155,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
156,"2040-4-13",12,0,0,"OPENING DAY",0,0
156,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
156,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
157,"2040-4-5",12,0,0,"OPENING DAY",0,0
157,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
157,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
158,"2040-4-5",12,0,0,"OPENING DAY",0,0
158,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
158,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
159,"2040-4-16",12,0,0,"OPENING DAY",0,0
159,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
159,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
160,"2040-4-13",12,0,0,"OPENING DAY",0,0
160,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
160,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
161,"2040-4-5",12,0,0,"OPENING DAY",0,0
161,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
161,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
126,"2033-11-8",14,0,0,"2017 All-Star Teams announced",0,0
126,"2017-5-29",20,0,0,"2017 All-Star Game",0,0
175,"2033-11-8",29,0,0,"2017 All-Star Voting Begins",0,0
175,"2033-11-8",14,0,0,"2017 All-Star Teams announced",0,0
175,"2017-7-13",20,0,0,"2017 All-Star Game",0,0
138,"2033-11-8",29,0,0,"2017 All-Star Voting Begins",0,0
138,"2033-11-8",14,0,0,"2017 All-Star Teams announced",0,0
138,"2017-7-13",20,0,0,"2017 All-Star Game",0,0
178,"2033-11-8",29,0,0,"2017 All-Star Voting Begins",0,0
178,"2033-11-8",14,0,0,"2017 All-Star Teams announced",0,0
178,"2017-5-11",20,0,0,"2017 All-Star Game",0,0
100,"2040-3-1",12,0,0,"OPENING DAY",0,0
145,"2040-3-1",11,0,0,"Spring Training Begins",0,0
145,"2040-3-29",12,0,0,"OPENING DAY",0,0
145,"2040-4-9",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
145,"2040-4-16",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
145,"2040-4-23",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
145,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
145,"2040-5-1",101,0,0,"Batter of the Month Award Announcement",0,0
145,"2040-5-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
145,"2040-5-1",103,0,0,"Rookie of the Month Award Announcement",0,0
145,"2040-5-7",104,0,0,"Player of the Week Award Announcement, Week no. 19",0,0
145,"2040-5-14",104,0,0,"Player of the Week Award Announcement, Week no. 20",0,0
145,"2040-5-21",104,0,0,"Player of the Week Award Announcement, Week no. 21",0,0
145,"2040-5-28",104,0,0,"Player of the Week Award Announcement, Week no. 22",0,0
145,"2040-6-1",101,0,0,"Batter of the Month Award Announcement",0,0
145,"2040-6-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
145,"2040-6-1",103,0,0,"Rookie of the Month Award Announcement",0,0
159,"2040-5-7",104,0,0,"Player of the Week Award Announcement, Week no. 19",0,0
172,"2040-4-14",12,0,0,"OPENING DAY",0,0
159,"2039-9-26",16,0,0,"Offseason starts",0,0
159,"2039-10-4",25,0,0,"Glove Wizard Award announced",0,0
159,"2039-10-5",32,0,0,"Reliever of the Year announced",0,0
159,"2039-10-6",31,0,0,"Platinum Stick Award announced",0,0
159,"2039-10-7",23,0,0,"Outstanding Pitcher Award announced",0,0
159,"2040-5-14",104,0,0,"Player of the Week Award Announcement, Week no. 20",0,0
160,"2040-5-1",101,0,0,"Batter of the Month Award Announcement",0,0
157,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
158,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
146,"2040-5-1",101,0,0,"Batter of the Month Award Announcement",0,0
147,"2040-5-1",101,0,0,"Batter of the Month Award Announcement",0,0
150,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
151,"2040-4-30",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
