park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,relative_path_3d_model,file_name_3d_model,home_team_dugout_is_at_first_base
1,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0670,1.0670,1.0670,0.9940,1.1730,1.3790,1.3790,1.3790,52,55,59,66,75,84,87,85,81,71,59,52,2,2,2,1,1,1,1,3,2,1,1,2,8,3,330,360,385,405,385,360,330,10,10,10,10,10,10,10,"Salt River Fields at Talking Stick","default_grass.jpg","default_grass.jpg",0,11000,0,0,0,0,"","",1
2,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.8500,0.8500,0.8500,0.9400,0.9400,0.8000,0.8000,0.8000,58,59,60,63,65,67,71,73,72,68,62,58,3,3,3,2,1,0,0,0,0,1,2,2,7,4,330,352,373,397,374,352,330,10,10,10,10,10,10,10,"AirHogs Stadium","default_grass.jpg","default_grass.jpg",0,5445,0,0,0,0,"","",1
3,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.8985,0.9050,0.8950,0.9320,0.9100,0.8950,0.8950,0.8950,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,4,319,361,393,425,392,351,319,7,7,7,11,7,7,7,"AAA Timerwolves Park","default_grass.jpg","default_grass.jpg",0,11026,0,0,0,0,"","",1
4,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9565,1.0150,0.9250,1.0340,1.0800,0.9100,0.8750,0.9750,37,42,51,60,68,77,82,81,73,62,49,40,2,3,3,3,3,3,3,2,3,3,3,2,12,3,346,386,428,435,407,358,332,15,15,7,7,7,7,7,"Spring Ballpark","default_grass.jpg","default_grass.jpg",0,5000,0,0,0,0,"","",1
5,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0140,0.9100,1.0700,0.9980,1.0200,0.9935,1.0600,0.8700,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,3,318,347,394,424,401,367,323,9,9,9,13,13,17,17,"El Toro Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
6,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.1135,1.1200,1.1100,0.9680,1.0100,1.0965,1.1000,1.0900,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,6,327,359,392,417,381,348,329,10,10,10,10,10,10,10,"Texas Rangers Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
7,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0435,1.0500,1.0400,1.0180,1.0200,1.0365,1.0400,1.0300,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,5,334,357,399,425,393,355,322,9,9,9,15,9,9,9,"Kansas City Royals Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
8,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9615,0.8900,1.0000,1.0380,1.0000,0.9315,0.9700,0.8600,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,8,326,355,398,425,406,366,328,10,10,10,14,10,18,18,"New York Mets Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
9,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0190,1.0450,1.0050,0.8820,0.8500,1.0850,1.0850,1.0850,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,4,321,347,381,421,380,342,314,9,9,9,9,9,9,9,"Houston Astros Complex Orange","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
10,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0190,1.0450,1.0050,1.0340,1.0600,0.9720,0.9650,0.9850,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,3,338,368,413,429,409,369,329,10,10,10,10,10,10,10,"Las Palmas Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
11,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0445,1.0250,1.0550,1.1040,1.1200,0.9420,0.9350,0.9550,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,2,336,368,412,436,409,369,336,9,9,9,14,9,9,9,"Rawling Foundation Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
12,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9585,0.9650,0.9550,1.2140,1.3600,0.9380,0.9450,0.9250,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,6,342,372,418,433,419,372,333,10,10,10,10,10,10,10,"Sunbeams Stadium","default_grass.jpg","default_grass.jpg",0,7000,0,0,1,0,"","",1
13,0,0,338,365,138,365,443,226,86,310,245,303,0,266,251,420,339,47,150,53,249,436,0,317,420,270,209,261,208,155,138,166,0.9319,0.9410,0.9270,1.2320,1.1540,0.8879,0.8560,0.9470,42,45,53,61,69,77,80,79,73,62,52,44,3,3,4,3,3,3,3,3,3,3,3,3,7,1,380,395,405,410,395,370,380,10,10,10,15,15,12,12,"The Swamp","chase_field_d.webp","chase_field_n.webp",0,44500,0,0,0,0,"./chase_field/","chase_field.pod",0
14,0,0,337,355,140,355,443,224,86,315,254,303,0,255,249,420,331,47,150,43,264,440,0,317,409,278,218,268,217,157,131,176,0.9965,0.9900,1.0000,0.9600,0.9300,0.9660,0.9800,0.9400,43,47,54,62,70,77,80,79,73,63,53,45,3,3,4,3,3,3,3,4,3,2,3,3,9,7,335,355,380,401,390,360,330,8,8,8,8,8,8,8,"Turner Field","turner_field_d.webp","turner_field_n.webp",0,50096,0,0,0,0,"","",1
15,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0140,1.0400,1.0000,0.9800,0.8300,1.1950,1.2300,1.1300,32,36,44,53,63,72,77,75,67,55,46,37,3,3,4,4,3,3,3,3,3,3,3,3,9,6,333,349,364,400,373,346,318,7,7,7,7,7,25,25,"Oriole Park at Camden Yards","oriole_park_at_camden_yards_d.webp","oriole_park_at_camden_yards_n.webp",0,45971,0,0,0,0,"./oriole_park_at_camden_yards/","oriole_park_at_camden_yards.pod",1
16,0,0,337,355,140,355,443,231,86,311,246,303,0,266,266,420,336,47,150,67,264,444,0,317,411,274,218,262,209,157,144,169,1.0470,1.0600,1.0400,1.2400,1.0500,0.8945,0.9400,0.8100,29,32,39,48,59,68,74,72,65,54,45,35,4,3,4,4,4,3,3,3,3,3,4,3,12,6,310,348,379,389,420,380,302,37,37,37,17,17,17,4,"Fenway Park","fenway_park_d.webp","fenway_park_n.webp",0,37400,0,0,0,0,"./fenway_park/","fenway_park.pod",1
17,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,0.9700,0.9700,0.9700,1.1870,1.1070,0.8990,0.8990,0.8990,22,27,37,48,59,68,73,72,64,52,39,27,3,3,4,4,3,3,3,3,3,3,4,3,10,1,335,390,400,410,400,390,335,25,15,12,12,12,15,25,"Cumberland Eiverfront Park","cumberland_eiverfront_park_d.jpg","cumberland_eiverfront_park_n.jpg",0,35000,0,0,0,0,"","",0
18,0,0,337,366,140,367,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,423,278,226,268,217,167,153,191,1.0205,1.0400,1.0100,1.0200,1.3500,0.9835,1.0500,0.8600,22,27,37,48,59,68,73,72,64,52,39,27,3,3,4,4,3,3,3,3,3,3,4,3,10,6,355,357,363,400,381,363,353,16,16,11,11,11,16,16,"Wrigley Field","wrigley_field_d.webp","wrigley_field_n.webp",0,41072,0,0,0,0,"./wrigley_field/","wrigley_field.pod",0
19,0,0,352,354,150,349,443,225,67,309,239,292,0,245,266,420,333,46,151,51,240,434,0,298,411,268,210,256,200,147,114,168,0.9865,0.9800,0.9900,1.0500,0.9400,1.1800,1.1800,1.1800,30,34,44,54,64,72,76,75,67,56,45,35,4,4,4,4,4,4,3,3,3,3,4,4,9,2,328,366,379,404,370,366,325,12,12,12,8,8,8,8,"Great American Ball Park","great_american_ball_park_d.webp","great_american_ball_park_n.webp",0,42319,0,0,0,0,"./great_american_ball_park/","great_american_ball_park.pod",1
20,0,0,337,355,134,354,443,224,75,304,246,294,0,252,252,420,334,44,149,53,255,438,0,303,411,265,205,255,210,143,109,158,0.9975,1.0300,0.9800,1.0000,0.7300,1.0120,0.9700,1.0900,26,28,38,48,59,68,72,70,63,52,42,31,6,5,5,5,4,4,3,3,3,3,5,5,11,8,325,348,370,405,375,350,325,19,19,19,9,9,14,14,"Progressive Field","progressive_field_d.webp","progressive_field_n.webp",0,35041,0,0,0,0,"./progressive_field/","progressive_field.pod",1
21,0,0,322,355,136,355,417,224,68,304,254,303,0,245,250,406,310,47,136,66,264,443,0,312,406,268,219,268,212,154,138,179,1.0034,0.9930,1.0090,0.9350,0.9000,1.0330,1.0480,1.0050,38,41,44,49,54,59,63,64,58,51,43,39,5,4,3,2,2,2,1,1,2,4,5,6,16,5,315,355,390,420,375,350,325,8,8,10,10,10,10,10,"Rockies Park","colorado_field_d.webp","colorado_field_n.webp",0,50000,2,0,1,0,"./colorado_field/","colorado_field.pod",1
22,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0420,0.9900,1.0700,1.0100,1.4500,1.0110,1.0600,0.9200,25,27,37,48,60,69,74,72,64,52,41,30,4,4,4,4,4,3,3,3,3,3,4,4,10,6,345,370,398,420,403,356,330,8,8,9,8,14,8,8,"Comerica Park","comerica_park_d.webp","comerica_park_n.webp",0,41681,0,0,0,0,"./comerica_park/","comerica_park.pod",0
23,0,0,337,355,140,355,436,224,78,305,254,296,0,257,266,415,332,37,150,36,230,424,0,309,411,267,216,255,217,150,136,170,0.9550,0.8900,0.9900,0.8700,1.1400,0.7645,0.7400,0.8100,68,69,72,76,80,82,84,84,82,79,74,70,3,3,3,3,3,5,5,5,7,5,3,3,9,3,344,364,393,407,397,361,335,7,7,14,20,15,7,7,"Marlins Park","marlins_park_d.webp","marlins_park_n.webp",0,37422,2,0,0,0,"./marlins_park/","marlins_park.pod",0
24,0,0,353,375,161,375,443,224,86,315,254,303,0,266,263,420,333,47,150,67,265,440,0,317,426,278,226,268,217,167,134,183,0.9765,0.9700,0.9800,0.8900,0.8700,1.1055,1.1300,1.0600,52,55,62,69,76,81,84,83,79,70,61,54,3,3,3,3,3,3,3,3,3,3,3,3,8,2,315,362,390,409,397,373,326,21,21,25,9,9,7,7,"Minute Maid Park","minute_maid_park_d.webp","minute_maid_park_n.webp",0,42060,2,0,0,0,"./minute_maid_park/","minute_maid_park.pod",1
25,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9806,0.9780,0.9820,0.9800,0.9750,0.9765,0.9800,0.9700,47,52,58,66,75,86,91,89,81,69,55,47,1,1,1,1,0,0,0,1,1,1,1,1,9,7,345,375,392,405,392,375,345,7,7,7,7,7,7,7,"Colonial View Ballpark","kauffman_stadium_d.webp","kauffman_stadium_n.webp",0,43000,0,0,0,0,"./kauffman_stadium/","kauffman_stadium.pod",1
