team_id,starter_0,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7
31,19719,28020,38385,41386,23997,19719,28020,38385
32,44113,44633,44250,12776,1550,44113,44633,44250
33,20882,32981,34020,39138,42326,20882,32981,34020
34,477,40140,43791,2050,45705,477,40140,43791
35,38266,19564,43811,34861,43441,38266,19564,43811
36,43353,41570,39532,40814,38236,43353,41570,39532
37,2146,40916,35035,467,44117,2146,40916,35035
38,1370,46362,20224,775,43386,1370,46362,20224
39,32436,27799,44029,42692,38744,32436,27799,44029
40,34320,19722,39607,2030,41767,34320,19722,39607
41,44844,1772,38292,40395,42657,44844,1772,38292
42,40286,39586,44529,23844,48478,40286,39586,44529
43,33010,43885,27734,18349,20431,33010,43885,27734
44,23543,20283,1202,40865,32462,23543,20283,1202
45,38498,23385,28181,40449,40092,38498,23385,28181
46,40667,45319,22439,41780,19991,40667,45319,22439
47,19599,20654,409,43039,21537,19599,20654,409
48,21645,24443,23046,39086,24631,21645,24443,23046
49,42113,19340,35291,42824,44264,42113,19340,35291
50,33087,38032,44866,40705,986,33087,38032,44866
51,42898,24089,23251,43001,41781,42898,24089,23251
52,35516,38614,19477,32240,34807,35516,38614,19477
53,42734,42890,40392,43459,1939,42734,42890,40392
54,44666,41118,43758,41534,44280,44666,41118,43758
55,43105,41401,38606,21959,42821,43105,41401,38606
56,42346,20505,19349,44142,44931,42346,20505,19349
57,35439,35439,35439,35439,35439,35439,35439,35439
58,40164,42046,42417,21478,42605,19283,40164,42046
59,38966,42073,2005,43506,43981,38966,42073,2005
60,37525,940,40864,38907,40997,37525,940,40864
85,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0
157,27446,1079,47066,1304,44731,27446,1079,47066
158,44054,34521,2042,22853,43940,44054,34521,2042
159,21154,27280,22542,45261,20137,21154,27280,22542
160,23515,45227,45571,38752,46539,23515,45227,45571
161,46229,39923,46247,21047,1953,46229,39923,46247
162,19886,19973,39743,35480,19687,19886,19973,39743
163,1676,46807,43921,20858,36843,1676,46807,43921
164,27305,34887,44657,21445,38681,27305,34887,44657
165,20678,40994,40774,41585,36671,20678,40994,40774
166,45771,44947,46602,28387,44760,45771,44947,46602
167,19445,19237,44151,22742,44574,32845,19445,19237
168,1824,19525,19592,42682,40360,1824,19525,19592
169,44893,45015,40479,31529,46344,44893,45015,40479
170,27489,40942,21302,35573,41921,27489,40942,21302
171,45325,23504,45073,46372,35870,45325,23504,45073
172,44868,19567,46022,36328,44868,19567,46022,36328
173,43564,37446,33932,45245,2081,43564,37446,33932
174,42671,36773,34498,20843,44852,42671,36773,34498
175,861,44985,44740,1970,44644,861,44985,44740
176,1781,22870,39574,44794,19240,1781,22870,39574
177,20288,40480,46778,46193,40369,20288,40480,46778
178,37609,21695,20170,629,35501,19789,37609,21695
179,41906,44867,40255,45303,39372,41906,44867,40255
180,2150,44610,42854,44553,23591,2150,44610,42854
181,42862,43427,19239,44627,43072,42862,43427,19239
182,42967,44974,936,27580,42967,44974,936,27580
183,1947,45112,42783,44988,1947,45112,42783,44988
184,46127,39915,705,46995,42489,46127,39915,705
185,44786,35268,36781,42348,27138,44786,35268,36781
186,33289,26024,35448,26829,33454,33289,26024,35448
187,841,47243,39967,454,44566,841,47243,39967
188,33653,1854,45070,20484,38392,33653,1854,45070
189,375,44585,49947,20465,595,375,44585,49947
190,44996,20118,21001,46516,40658,44996,20118,21001
191,20040,19320,41018,44570,20040,19320,41018,44570
192,42088,2128,23103,19326,44973,42088,2128,23103
193,90,42970,39173,46730,23099,90,42970,39173
194,37558,44783,28047,22518,25658,37558,44783,28047
195,20038,46261,20911,1351,20038,46261,20911,1351
196,43182,43271,25750,1639,44467,43182,43271,25750
197,43129,27336,20774,30945,45430,41435,43129,27336
198,35210,45891,45858,851,23886,35210,45891,45858
199,39597,46059,49946,1642,43930,39597,46059,49946
200,45350,23070,41216,46487,35797,45350,23070,41216
201,45746,20865,502,37813,46259,45746,20865,502
202,22238,46907,45151,1053,43906,22238,46907,45151
203,36645,44827,34483,44802,44586,36645,44827,34483
204,73,20246,46263,46959,45362,73,20246,46263
205,41093,44925,46719,46914,43442,41093,44925,46719
206,46341,44803,20466,463,46341,44803,20466,463
207,38639,38555,39117,32221,46178,38639,38555,39117
208,1932,42396,45588,46671,45183,1932,42396,45588
209,1984,21654,46141,45921,21198,21654,1984,46141
210,24106,45982,30467,35379,20337,24106,45982,30467
211,45006,33266,40204,34240,40383,45006,33266,40204
212,31546,1198,47290,950,34797,31546,1198,47290
213,35822,33281,20644,22851,43342,23072,35822,33281
214,36123,565,39822,45572,44993,36123,565,39822
215,44846,35520,45093,45206,40195,44846,35520,45093
216,19838,44972,853,40859,804,19838,44972,853
218,1261,23513,44595,24238,20237,23513,1261,44595
219,44667,46921,47025,44886,47179,44667,46921,47025
220,44039,36670,43176,45517,46182,44039,36670,43176
221,4124,42826,44173,30740,24277,4124,42826,44173
223,47600,25922,40102,46458,41580,47600,25922,40102
224,22874,839,44851,2004,1677,22874,839,44851
225,19263,31057,20339,45278,38514,19263,31057,20339
226,43238,43518,22387,47336,43047,43238,43518,22387
227,36866,22186,49423,45189,36866,22186,49423,45189
228,42293,44095,49023,1106,28766,42293,44095,49023
229,45478,40215,46777,49048,39528,45637,45478,40215
230,19972,26818,42796,43817,39480,19972,26818,42796
231,23790,19837,20340,39374,20176,23790,19837,20340
232,219,37744,49649,41376,22967,219,37744,49649
233,395,22527,38759,44790,20374,395,22527,38759
234,46665,45165,49221,47690,43526,46665,45165,49221
236,27048,40009,23518,46032,42305,27048,40009,23518
237,34487,173,25693,1091,46073,34487,173,25693
238,38947,46402,32478,38290,38947,46402,32478,38290
239,45177,44527,971,41743,45460,45177,44527,971
240,45965,44815,39268,20616,18697,45965,44815,39268
241,21346,41493,34752,45236,19251,21346,41493,34752
242,39265,47531,44503,46808,32419,39265,47531,44503
243,47195,43631,49199,42023,47488,47195,43631,49199
244,25756,42791,43967,26359,42133,25756,42791,43967
245,44878,40022,44100,47041,45983,44878,40022,44100
246,29487,42229,45603,40976,44291,29487,42229,45603
247,44449,27860,18516,45546,46674,44449,27860,18516
248,38163,40694,40434,44679,44514,38163,40694,40434
249,46565,46236,46624,20129,43947,46565,46236,46624
250,47415,45203,45833,47022,47164,47415,45203,45833
251,42600,47250,46411,41226,45616,42600,47250,46411
252,42769,39858,44411,45096,47146,42769,39858,44411
253,40268,40497,34293,50342,40268,40497,34293,50342
254,43888,19936,39454,49751,40143,43888,19936,39454
255,35320,41711,46296,46108,36808,35320,41711,46296
256,44616,44480,39556,42763,24146,31649,44616,44480
257,42656,846,1580,42988,34968,42656,846,1580
258,47202,40507,47202,40507,47202,40507,47202,40507
259,45540,46039,45267,19967,46126,45540,46039,45267
260,46514,22075,40502,44787,1386,46514,22075,40502
261,47009,42771,40811,45592,43074,47009,42771,40811
262,300,436,35023,46169,44129,43740,300,436
263,19188,30057,21328,44278,44481,19188,30057,21328
264,41509,48572,45585,43692,43337,41509,48572,45585
265,47468,42335,40491,47227,19545,47468,42335,40491
266,49928,23505,22799,39297,34598,49928,23505,22799
267,44138,21815,34405,46214,40399,44138,21815,34405
268,47275,1745,45247,23167,45351,47275,1745,45247
269,38142,41218,23716,44053,39873,38142,41218,23716
270,20330,651,37603,44078,47152,20330,651,37603
271,38956,1622,47515,45687,593,38956,1622,47515
272,45359,47500,46109,50815,44223,45359,47500,46109
273,46483,46743,43909,45357,2158,46483,46743,43909
274,42212,42315,46540,45352,45945,42212,42315,46540
275,38925,47342,46306,36854,46272,38925,47342,46306
276,43615,38244,45388,47422,46546,43615,38244,45388
277,26837,38406,20155,24042,42870,26837,38406,20155
278,30902,50336,51466,50890,46027,30902,50336,51466
279,47616,20578,44757,599,25871,47616,20578,44757
280,40159,41757,41710,621,35655,40159,41757,41710
281,46395,20475,49380,39027,49022,45857,46395,20475
282,45507,45551,46325,45781,43155,45507,45551,46325
283,43317,46227,47145,39759,1819,43317,46227,47145
284,18976,47393,1742,47365,41721,18976,47393,1742
285,47376,50105,41514,28473,41771,47376,50105,41514
