team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
31,2040,145,1,1,599,159,685,234,146,139,0,68,69,65,154,161,2496,0,118,0,15,9,16,89,40,2,6,3,14,0,0,8,9,10,50,17,0,24,8,118,0,0,4,1,9,12.6792,0.2437,0.3280,0.3907,0.7186,8.2642,7.8679,0.7925,3.8491,0.0000,0.0000,0.0000,0.6250,0.0000,0.6667,0.3333,0.4237,3.6792,21.1525,0.0000,1.3459,0.4889,2.0441,0.2920
32,2040,145,1,1,680,182,776,280,153,207,0,87,93,90,157,159,3025,1,129,0,7,6,15,97,18,2,2,5,33,1,1,5,6,4,53,17,0,19,4,129,0,0,5,1,19,12.0439,0.2250,0.3157,0.4118,0.7274,7.5521,10.2176,1.6289,4.2943,0.0000,0.0000,0.0000,0.5385,0.0000,0.7895,0.2105,0.4109,4.4424,23.4496,0.0000,1.3163,0.4968,2.3793,0.2715
33,2040,145,1,1,733,192,816,273,180,200,0,64,66,61,190,168,3106,2,132,0,10,6,19,133,23,4,6,2,22,0,0,4,7,9,54,15,0,22,2,132,0,0,8,0,19,11.8183,0.2456,0.3116,0.3724,0.6840,8.4083,9.3426,1.0277,2.9896,0.0000,0.0000,0.0000,0.6250,0.0000,0.9048,0.0909,0.4091,2.8495,23.5303,0.0000,1.2664,0.5307,3.1250,0.3056
34,2040,145,1,1,1041,263,1139,433,269,281,0,82,144,139,239,247,4277,1,161,0,10,17,12,178,53,4,5,3,35,0,0,5,12,7,53,17,0,22,9,161,0,0,12,4,15,12.2354,0.2584,0.3154,0.4159,0.7314,9.1937,9.6038,1.1962,2.8025,0.0000,0.0000,0.0000,0.3704,0.0000,0.5714,0.4091,0.3292,4.7506,26.5652,0.0000,1.3329,0.4918,3.4268,0.3205
35,2040,145,1,1,662,174,746,274,158,198,0,67,82,76,163,147,2842,2,151,0,9,10,11,96,32,5,6,6,24,0,1,4,4,5,50,15,0,17,6,151,0,0,11,2,16,11.8511,0.2387,0.3108,0.4139,0.7247,8.1412,10.2023,1.2366,3.4523,0.0000,0.0000,0.0000,0.4737,0.0000,0.6471,0.3529,0.3311,3.9160,18.8212,0.0000,1.2882,0.5258,2.9552,0.3004
36,2040,145,1,1,717,192,778,266,169,192,0,53,63,58,166,188,2888,0,133,0,4,8,13,118,26,2,3,4,21,0,0,7,12,3,53,20,0,19,6,133,0,0,4,5,19,10.5469,0.2357,0.2899,0.3710,0.6609,7.9219,9.0000,0.9844,2.4844,0.0000,0.0000,0.0000,0.3333,0.0000,0.6842,0.3158,0.3985,2.7188,21.7143,0.0000,1.1562,0.4689,3.6226,0.2919
37,2040,145,1,1,800,205,899,327,209,193,0,78,109,98,197,203,3379,2,156,0,11,11,14,149,29,6,5,4,27,0,0,9,8,10,54,14,0,20,6,156,0,0,10,4,18,12.9968,0.2612,0.3326,0.4088,0.7413,9.1459,8.4457,1.1815,3.4133,0.0000,0.0000,0.0000,0.5000,0.0000,0.7000,0.3000,0.3462,4.2885,21.6603,0.0000,1.3955,0.4925,2.4744,0.3111
38,2040,145,1,1,525,144,589,223,121,139,0,52,58,57,122,149,2164,0,97,0,6,6,19,69,26,6,1,2,24,0,0,18,4,5,50,14,0,24,5,97,0,0,4,4,9,11.1250,0.2305,0.3053,0.4248,0.7301,7.5625,8.6875,1.5000,3.2500,0.0000,0.0000,0.0000,0.5000,0.0000,0.7917,0.2083,0.5155,3.5625,22.3093,0.0000,1.2014,0.4502,2.6731,0.2672
39,2040,145,1,1,679,173,749,259,170,145,0,59,81,79,195,167,2741,2,127,0,8,8,18,117,33,2,4,4,16,0,0,5,11,5,52,9,0,24,5,127,0,0,9,2,24,12.1267,0.2504,0.3133,0.3814,0.6947,8.8100,7.5144,0.8292,3.0576,0.0000,0.0000,0.0000,0.5000,0.0000,0.7826,0.2083,0.4094,4.0940,21.5827,0.0000,1.3186,0.5387,2.4576,0.2950
40,2040,145,1,1,616,168,672,215,134,205,0,49,56,53,148,130,2642,0,139,0,10,8,15,83,34,3,2,4,13,0,0,2,9,2,51,11,0,22,7,139,0,0,4,3,18,9.9107,0.2175,0.2765,0.3490,0.6256,7.1786,10.9821,0.6964,2.6250,0.0000,0.0000,0.0000,0.5556,0.0000,0.6818,0.3182,0.3669,2.8393,19.0072,0.0000,1.0893,0.5324,4.1837,0.3025
