team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
31,2040,145,1,0,0,77,770,2854,713,2103,38,61,0,6,76,22,0,6309,0,0.9867,4.0171,0.2895,0.0000
32,2040,145,1,0,0,77,770,2726,632,2062,32,62,0,4,80,28,0,6186,0,0.9883,3.9195,0.3500,0.0000
33,2040,145,1,0,0,79,790,2820,683,2097,40,59,0,10,74,14,0,6291,0,0.9858,3.9771,0.1892,0.0000
34,2040,145,1,0,0,79,790,2776,633,2098,45,56,0,7,106,28,0,6294,0,0.9838,3.9051,0.2642,0.0000
35,2040,145,1,0,0,76,760,2732,657,2031,44,57,0,4,114,32,0,6093,0,0.9839,3.9705,0.2807,0.0000
36,2040,145,1,0,0,77,770,2848,709,2092,47,63,0,7,114,38,0,6276,0,0.9835,4.0167,0.3333,0.0000
37,2040,145,1,0,0,78,780,2851,707,2101,43,51,0,8,96,30,0,6303,0,0.9849,4.0095,0.3125,0.0000
38,2040,145,1,0,0,79,790,2847,691,2114,42,58,0,2,56,20,0,6342,0,0.9852,3.9806,0.3571,0.0000
39,2040,145,1,0,0,79,790,2975,784,2144,47,62,0,5,154,36,0,6432,0,0.9842,4.0970,0.2338,0.0000
40,2040,145,1,0,0,76,760,2782,672,2068,42,67,0,1,78,28,0,6204,0,0.9849,3.9749,0.3590,0.0000
41,2040,145,1,0,0,78,780,2777,635,2101,41,61,0,6,120,38,0,6303,0,0.9852,3.9067,0.3167,0.0000
42,2040,145,1,0,0,79,790,2955,775,2131,49,72,0,7,84,22,0,6393,0,0.9834,4.0910,0.2619,0.0000
43,2040,145,1,0,0,78,780,2922,785,2079,58,61,0,6,126,22,0,6237,0,0.9802,4.1328,0.1746,0.0000
44,2040,145,1,0,0,79,790,2784,629,2098,57,55,0,4,98,28,0,6294,0,0.9795,3.8994,0.2857,0.0000
45,2040,145,1,0,0,76,760,2714,663,2021,30,56,0,7,78,22,0,6063,0,0.9889,3.9842,0.2821,0.0000
46,2040,145,1,0,0,78,780,2799,719,2031,49,59,0,2,90,30,0,6093,0,0.9825,4.0620,0.3333,0.0000
47,2040,145,1,0,0,78,780,2812,671,2080,61,60,0,4,106,30,0,6240,0,0.9783,3.9678,0.2830,0.0000
48,2040,145,1,0,0,77,770,2867,754,2074,39,79,0,5,114,34,0,6222,0,0.9864,4.0906,0.2982,0.0000
49,2040,145,1,0,0,77,770,2803,677,2076,50,67,0,4,84,30,0,6228,0,0.9822,3.9783,0.3571,0.0000
50,2040,145,1,0,0,77,770,2752,671,2055,26,53,0,6,74,14,0,6165,0,0.9906,3.9796,0.1892,0.0000
51,2040,145,1,0,0,78,780,2807,684,2076,47,57,0,4,114,30,0,6228,0,0.9833,3.9884,0.2632,0.0000
52,2040,145,1,0,0,78,780,2796,653,2113,30,53,0,5,90,24,0,6339,0,0.9893,3.9271,0.2667,0.0000
53,2040,145,1,0,0,78,780,2819,639,2133,47,52,0,4,96,20,0,6399,0,0.9833,3.8987,0.2083,0.0000
54,2040,145,1,0,0,78,780,2838,671,2107,60,59,0,6,102,22,0,6321,0,0.9789,3.9554,0.2157,0.0000
55,2040,145,1,0,0,80,800,2876,655,2179,42,49,0,5,100,38,0,6537,0,0.9854,3.9018,0.3800,0.0000
56,2040,145,1,0,0,77,770,2826,730,2061,35,58,0,7,96,32,0,6183,0,0.9876,4.0626,0.3333,0.0000
57,2040,145,1,0,0,77,770,2675,607,2030,38,63,0,5,76,16,0,6090,0,0.9858,3.8970,0.2105,0.0000
58,2040,145,1,0,0,79,790,2881,697,2147,37,77,0,3,80,28,0,6441,0,0.9872,3.9739,0.3500,0.0000
59,2040,145,1,0,0,77,770,2786,695,2031,60,51,0,4,64,10,0,6096,0,0.9785,4.0246,0.1562,0.0000
60,2040,145,1,0,0,76,760,2763,698,2028,37,65,0,9,100,36,0,6084,0,0.9866,4.0325,0.3600,0.0000
