team_id,gate_revenue,gate_share_gained,gate_share_lost,season_ticket_revenue,media_revenue,merchandising_revenue,revenue_sharing,playoff_revenue,cash,cash_owner,cash_trades,previous_balance,player_expenses,staff_expenses,stadium_expenses,season_tickets,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,local_media_contract,local_media_contract_expires,national_media_contract,national_media_contract_expires,scouting_budget,development_budget,draft_budget,draft_expenses,intl_fa_budget,spent_in_intl,budget,market,owner_expectation,total_revenue,total_expenses,financial_balance,budget_balance,player_payroll,player_payroll_next_season,player_payroll_offered,mode
31,11591138,1417001,2318226,28234737,75000000,7747143,5912183,0,13843455,-9228970,0,17160242,40620983,0,0,9421,567641,77,5,-5,37.0000,32500000,1,42500000,2,0,36000000,0,0,0,0,164000000,4,4,121671793,77053606,58461642,100789849,129584225.0000,86512600.0000,0.0000,1
32,7480851,2382502,1496172,15276114,80000000,4917189,5912164,0,17699217,-11799482,0,23586535,47795468,0,0,9926,612101,55,2,4,19.0000,37500000,1,42500000,1,0,6000000,0,0,0,0,144000000,5,5,108560484,54214882,72044819,107484335,145754825.0000,141774000.0000,0.0000,3
33,5167270,2675002,1033454,13243500,87500000,5912522,5912201,0,30000000,-24906405,0,48994204,15867116,0,0,16350,909127,51,6,6,10.0000,45000000,1,42500000,2,0,10000000,0,0,0,0,148000000,7,2,113464840,28003968,115460872,149996032,48061625.0000,44902500.0000,0.0000,0
34,4574800,2972675,914960,18448560,102500000,6575125,5912198,0,23236156,0,0,17323958,34366472,0,0,11388,513440,52,7,-3,20.0000,60000000,1,42500000,2,0,36000000,0,0,5000000,0,180000000,9,3,134156200,88366472,69025884,109869684,63771200.0000,64855000.0000,0.0000,10
35,8884513,2282713,1776897,37220553,102500000,9363175,21,0,27874110,0,0,27874089,44079164,0,0,17019,748485,77,8,0,31.0000,60000000,1,42500000,1,0,36000000,0,0,5000000,0,198000000,8,1,158474057,85122837,101225330,135751273,138279925.0000,128710000.0000,0.0000,2
36,6856348,2497248,1371269,32482701,107500000,8950354,57,0,26080836,0,0,26080779,46252140,0,0,9781,441096,68,7,0,41.0000,65000000,1,42500000,1,0,20000000,0,0,0,4272327,190000000,9,1,156915382,70524467,112471751,149828696,135612575.0000,98020000.0000,0.0000,0
37,5787570,1899079,1157514,19119240,80000000,8056386,51,0,-3200000,3091852,0,-6291903,50436781,0,0,15736,794974,71,7,-3,15.0000,37500000,1,42500000,2,0,6000000,0,0,0,0,160000000,5,4,113704761,59270299,51234462,97529701,149303525.0000,138740000.0000,0.0000,0
38,16961869,2542610,3392367,70353113,97500000,11916658,-42215824,0,6132013,102332950,0,-60117126,94453634,0,0,18841,888969,95,10,15,42.5000,55000000,1,42500000,3,0,15000000,0,0,0,0,290000000,7,3,195881883,109453634,92560262,186678379,286664300.0000,277945000.0000,0.0000,1
39,12088459,2990259,2417691,33695676,97500000,9411873,5912230,0,30000000,-26598867,0,51221637,38798758,0,0,14857,812263,77,10,2,25.5000,55000000,1,42500000,1,0,36000000,0,0,0,0,200000000,7,2,153268576,66098758,117169818,163901242,113671753.0000,86642500.0000,0.0000,7
40,16629426,1848545,3325887,57151413,112500000,11556586,-14253996,0,11494205,0,0,25748201,80540228,0,0,21381,1059828,83,9,15,33.0000,70000000,1,42500000,2,0,25000000,0,0,0,0,270000000,9,4,196360083,105540228,102314060,175953977,256305725.0000,245227500.0000,0.0000,1
41,6401970,1997555,1280394,11178000,63500000,5875877,5912304,0,18000000,-12414802,0,25281881,18024856,0,0,9200,684398,54,4,-9,15.0000,21000000,1,42500000,1,0,36000000,0,0,0,0,102000000,3,2,87673008,55358189,50314819,64641811,53331325.0000,55755000.0000,0.0000,1
42,13848915,2671570,2769778,27769515,85000000,8263890,5912163,0,30000000,-38918763,0,63006600,63998943,0,0,13191,889013,59,6,14,25.9900,42500000,1,42500000,1,0,12000000,0,0,0,0,180000000,6,2,134784112,75998943,88785169,134001057,181446025.0000,162810000.0000,0.0000,10
43,4054560,2558493,810912,10480752,75000000,4681251,5912235,0,24000000,-22605329,0,40693094,23396371,0,0,16174,846474,48,4,0,8.0000,32500000,1,42500000,2,0,36000000,0,0,0,0,112000000,5,0,95964144,59396371,60567773,76603629,72814125.0000,63885000.0000,0.0000,2
44,7962404,2271647,1592482,29011218,87500000,9276893,5912353,0,30000000,-10178696,0,34266343,33797651,0,0,15241,780815,67,7,0,23.5000,45000000,1,42500000,2,0,36000000,0,0,5000000,0,174000000,6,0,134429680,69797651,94632029,129202349,100550625.0000,92604000.0000,0.0000,0
45,17599283,2648092,3519854,46477002,117500000,11022966,5912233,0,30000000,-3697932,0,27785699,65314120,0,0,20133,1161110,81,7,15,28.5000,75000000,1,42500000,1,0,36000000,0,0,5000000,5000000,270000000,10,4,191727489,106314120,115413369,193685880,204144475.0000,175552500.0000,0.0000,1
