team_id,g,w,l,pos,pct,gb,streak,magic_number
31,84,49,35,1,0.5833,0.0000,1,78
32,83,46,37,2,0.5542,3.0000,1,1000
33,86,39,47,4,0.4535,14.5000,1,1000
34,85,36,49,5,0.4235,17.0000,-3,1000
35,82,32,50,4,0.3902,19.0000,-1,1000
36,84,26,58,5,0.3095,23.0000,2,1000
37,84,32,52,4,0.3810,17.0000,-2,1000
38,85,49,36,2,0.5765,3.5000,-1,1000
39,85,45,40,3,0.5294,9.5000,-2,1000
40,82,51,31,1,0.6220,0.0000,9,76
41,85,46,39,4,0.5412,4.0000,-3,1000
42,86,47,39,2,0.5465,9.5000,2,1000
43,84,36,48,4,0.4286,18.0000,1,1000
44,85,30,55,5,0.3529,26.0000,-1,1000
45,83,25,58,5,0.3012,28.5000,-1,1000
46,85,27,58,5,0.3176,25.5000,1,1000
47,83,43,40,3,0.5181,8.5000,1,1000
48,83,38,45,3,0.4578,14.0000,-2,1000
49,83,45,38,3,0.5422,4.0000,3,1000
50,84,54,30,1,0.6429,0.0000,2,70
51,85,50,35,1,0.5882,0.0000,1,76
52,84,45,39,3,0.5357,4.0000,-3,1000
53,85,42,43,3,0.4941,14.0000,-3,1000
54,85,37,48,4,0.4353,19.0000,-1,1000
55,86,47,39,2,0.5465,8.0000,3,1000
56,83,47,36,2,0.5663,1.5000,-1,1000
57,83,45,38,2,0.5422,7.0000,5,1000
58,85,56,29,1,0.6588,0.0000,1,68
59,83,52,31,1,0.6265,0.0000,-1,73
60,82,44,38,5,0.5366,4.5000,-1,1000
85,0,0,0,0,0.0000,0.0000,0,0
86,0,0,0,0,0.0000,0.0000,0,0
157,75,42,33,2,0.5600,9.0000,3,1000
158,73,37,36,4,0.5068,4.0000,-1,1000
159,74,40,34,2,0.5405,1.5000,1,1000
160,75,37,38,5,0.4933,5.0000,-6,1000
161,74,33,41,6,0.4459,8.5000,6,1000
162,75,32,43,3,0.4267,9.0000,1,1000
163,74,36,38,2,0.4865,3.0000,-2,1000
164,74,39,35,1,0.5270,0.0000,-3,64
165,73,15,58,4,0.2055,23.5000,1,1000
166,74,32,42,3,0.4324,7.0000,1,1000
167,75,39,36,3,0.5200,3.0000,-1,1000
168,73,50,23,1,0.6849,0.0000,-1,58
169,75,41,34,3,0.5467,10.0000,2,1000
170,74,36,38,4,0.4865,14.5000,-2,1000
171,75,48,27,1,0.6400,0.0000,1,59
172,75,27,48,4,0.3600,20.0000,1,1000
173,75,35,40,3,0.4667,12.0000,2,1000
174,75,32,43,3,0.4267,16.0000,-2,1000
175,74,41,33,2,0.5541,5.5000,4,1000
176,75,42,33,1,0.5600,0.0000,2,65
177,75,41,34,2,0.5467,7.0000,-1,1000
178,75,47,28,1,0.6267,0.0000,-1,61
179,74,28,46,4,0.3784,19.5000,-2,1000
180,75,41,34,1,0.5467,0.0000,1,59
181,75,34,41,2,0.4533,7.0000,-1,1000
182,75,39,36,4,0.5200,6.0000,1,1000
183,75,39,36,3,0.5200,6.0000,-1,1000
184,75,26,49,4,0.3467,15.0000,-1,1000
185,75,44,31,2,0.5867,1.0000,-3,1000
186,75,45,30,1,0.6000,0.0000,2,65
187,81,26,55,6,0.3210,20.0000,-1,1000
188,81,46,35,2,0.5679,0.0000,1,60
189,81,46,35,3,0.5679,0.0000,2,60
190,81,39,42,5,0.4815,7.0000,5,1000
191,81,46,35,1,0.5679,0.0000,-2,60
192,81,42,39,4,0.5185,4.0000,-2,1000
193,81,24,57,6,0.2963,40.0000,1,1000
194,81,59,22,2,0.7284,5.0000,2,1000
