team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
31,2040,145,1,1,1863,497,2059,716,428,416,301,157,226,206,505,514,7796,0,84,84,27,19,0,273,84,6,10,9,62,0,0,1,28,23,0,36,42,0,0,0,1,1,19,8,0,11.0101,0.2297,0.2962,0.3843,0.6805,7.7505,7.5332,1.1227,2.8431,0.0119,0.0000,0.5000,0.5870,3.5833,0.0000,0.0000,0.0000,3.7304,92.8095,0.0000,1.1771,0.4956,2.6497,0.2624
32,2040,145,1,1,1720,457,1911,652,396,498,239,165,208,202,378,447,7293,2,83,83,34,24,0,264,63,3,10,14,55,0,0,0,14,13,0,33,41,0,0,0,0,0,15,11,0,11.2877,0.2302,0.3008,0.3791,0.6799,7.7873,9.7932,1.0816,3.2447,0.0000,0.0000,0.4940,0.5862,2.8795,0.0000,0.0000,0.0000,3.9723,87.8675,0.0000,1.2258,0.4582,3.0182,0.2897
33,2040,145,1,1,1781,457,1978,809,462,355,217,157,269,257,447,513,7287,0,86,86,23,34,0,276,101,4,12,9,76,0,0,2,16,24,0,34,30,0,0,0,0,0,20,7,0,12.6630,0.2594,0.3257,0.4542,0.7800,9.0985,6.9912,1.4967,3.0919,0.0000,0.0000,0.3488,0.4035,2.5233,0.0000,0.0000,0.0000,5.0613,84.7326,0.0000,1.3545,0.4656,2.2611,0.2834
34,2040,145,1,1,1148,293,1284,511,303,255,169,100,181,165,267,318,4771,0,85,85,11,23,0,183,73,5,11,6,41,1,0,0,14,20,0,23,13,0,0,0,0,0,19,7,0,12.9932,0.2639,0.3307,0.4451,0.7758,9.3072,7.8328,1.2594,3.0717,0.0000,0.0000,0.1529,0.3235,1.9882,0.0000,0.0000,0.0000,5.0683,56.1294,0.0000,1.3754,0.4564,2.5500,0.3036
35,2040,145,1,1,1808,438,1984,841,542,338,227,135,295,265,443,475,7209,1,82,82,18,38,0,352,129,5,15,13,48,2,0,0,27,21,0,30,30,0,0,0,1,1,27,17,0,14.3316,0.2998,0.3527,0.4652,0.8179,11.1285,6.9399,0.9856,2.7719,0.0122,0.0000,0.3659,0.3214,2.7683,0.0000,0.0000,0.0000,5.4411,87.9146,0.0000,1.5445,0.4826,2.5037,0.3438
36,2040,145,1,1,1919,465,2071,918,575,301,194,123,282,257,485,543,7582,1,84,84,18,40,0,372,129,4,10,8,66,0,0,1,17,15,0,37,28,0,0,0,1,0,33,13,0,13.7901,0.2996,0.3449,0.4784,0.8233,11.1211,5.8216,1.2765,2.3789,0.0119,0.0000,0.3333,0.3103,2.3095,0.0000,0.0000,0.0000,4.9706,90.2619,0.0000,1.5000,0.4718,2.4472,0.3259
37,2040,145,1,1,1768,440,1936,820,495,364,203,132,294,276,472,432,7131,0,84,84,17,35,0,301,123,6,10,11,60,1,0,0,23,20,0,25,27,0,0,0,0,0,22,17,0,13.2341,0.2800,0.3352,0.4638,0.7990,10.1250,7.4455,1.2273,2.7000,0.0000,0.0000,0.3214,0.3269,2.4167,0.0000,0.0000,0.0000,5.6455,84.8929,0.0000,1.4250,0.5221,2.7576,0.3213
38,2040,145,1,1,2051,527,2260,840,527,479,305,166,267,246,508,534,8276,2,85,85,37,23,0,342,117,7,20,8,60,1,1,20,24,15,0,39,47,0,0,0,3,1,10,6,0,12.0758,0.2569,0.3144,0.4096,0.7239,8.9886,8.1699,1.0234,2.8313,0.0353,0.0000,0.5529,0.6167,3.5882,0.0000,0.0000,0.0000,4.1958,97.3647,0.0000,1.3133,0.4875,2.8855,0.3048
39,2040,145,1,1,1844,467,2037,777,514,335,272,151,264,246,516,477,7333,0,85,85,31,28,0,360,94,5,14,11,49,1,0,0,16,23,0,43,33,0,0,0,1,1,46,17,0,13.2591,0.2787,0.3386,0.4214,0.7599,9.9058,6.4561,0.9443,2.9101,0.0118,0.0000,0.3882,0.5254,3.2000,0.0000,0.0000,0.0000,4.7409,86.2706,0.0000,1.4240,0.5196,2.2185,0.3155
40,2040,145,1,1,1761,465,1927,663,424,415,308,132,196,181,469,446,7112,1,82,82,32,18,0,285,83,5,12,12,44,2,1,1,15,16,0,49,33,0,0,0,0,0,18,14,0,11.0630,0.2408,0.2978,0.3765,0.6743,8.2006,8.0265,0.8510,2.5530,0.0000,0.0000,0.4024,0.6400,3.7561,0.0000,0.0000,0.0000,3.5007,86.7317,0.0000,1.1948,0.5126,3.1439,0.2892
41,2040,145,1,1,1841,480,2011,739,459,438,217,130,215,199,446,499,7401,1,85,85,28,30,0,313,72,6,15,14,60,1,0,0,12,19,0,37,41,0,0,0,0,0,26,15,0,11.3921,0.2493,0.3032,0.4014,0.7047,8.6003,8.2068,1.1242,2.4358,0.0000,0.0000,0.4824,0.4828,2.5529,0.0000,0.0000,0.0000,3.7287,87.0706,0.0000,1.2262,0.4720,3.3692,0.2938
42,2040,145,1,1,1926,493,2093,759,506,374,309,137,234,218,506,526,7626,0,86,86,31,26,0,357,90,7,13,14,45,4,1,1,11,9,0,50,43,0,0,0,1,0,27,10,0,11.9026,0.2627,0.3127,0.3941,0.7068,9.2373,6.8276,0.8215,2.5010,0.0116,0.0000,0.5000,0.5439,3.5930,0.0000,0.0000,0.0000,3.9797,88.6744,0.0000,1.3043,0.4903,2.7299,0.3033
43,2040,145,1,1,1774,451,2008,732,488,262,257,186,249,226,516,514,7320,1,84,84,26,30,0,337,98,8,22,13,40,1,0,5,24,18,0,41,38,0,0,0,2,1,32,11,0,13.7991,0.2751,0.3460,0.4126,0.7586,9.7312,5.2245,0.7976,3.7090,0.0238,0.0000,0.4524,0.4643,3.0595,0.0000,0.0000,0.0000,4.5066,87.1429,0.0000,1.4934,0.5010,1.4086,0.2999
44,2040,145,1,1,1758,452,2014,767,461,362,175,219,252,232,419,509,7389,2,85,85,19,39,0,299,85,6,14,10,67,2,1,34,14,16,0,41,39,0,0,0,0,0,23,11,0,13.8380,0.2622,0.3468,0.4363,0.7831,9.1657,7.1973,1.3321,4.3542,0.0000,0.0000,0.4588,0.3276,2.0588,0.0000,0.0000,0.0000,4.6127,86.9294,0.0000,1.5022,0.4515,1.6530,0.2934
45,2040,145,1,1,1764,440,1942,762,514,401,152,147,253,241,402,449,7208,2,83,83,14,36,0,367,92,7,8,9,46,1,0,0,16,16,0,41,39,0,0,0,0,0,13,10,0,13.8268,0.2914,0.3499,0.4320,0.7818,10.4977,8.1899,0.9395,3.0023,0.0000,0.0000,0.4699,0.2800,1.8313,0.0000,0.0000,0.0000,4.9221,86.8434,0.0000,1.5000,0.4724,2.7279,0.3532
46,2040,145,1,1,1717,426,1941,840,501,283,213,178,317,293,475,448,7078,0,85,85,18,38,0,316,103,7,11,10,72,0,0,2,31,28,0,41,23,0,0,0,0,0,20,11,0,14.9366,0.2918,0.3656,0.4892,0.8548,10.5845,5.9789,1.5211,3.7606,0.0000,0.0000,0.2706,0.3214,2.5059,0.0000,0.0000,0.0000,6.1901,83.2706,0.0000,1.5939,0.5146,1.5899,0.3125
